epoch,train_reconstruction_loss,validation_reconstruction_loss
1,0.18298557529302492,0.08538772431138443
2,0.08358999911236437,0.06551191797607565
3,0.07881029413579262,0.05958127882969502
4,0.0743189970822367,0.05781268315989371
5,0.06628990188649256,0.054568237376284516
6,0.06611499240341252,0.056150700520621995
7,0.06472819476094964,0.05209204736994962
8,0.063096349864994,0.052246634612395745
9,0.06406738744819002,0.05083096942111646
10,0.06454919685341724,0.04967483543561236
11,0.06940196983720341,0.05391908912243296
12,0.06382890404393411,0.05234185852467606
13,0.05927642456268611,0.047153589845162956
14,0.057469582338243314,0.048476914600915695
15,0.07160682858363407,0.04936224255991513
16,0.05995582826435566,0.04702840685965621
17,0.06176748682476886,0.04987965830384868
18,0.060258811875565414,0.049359058336137906
19,0.058316226989949406,0.04752748110012649
20,0.06329053722526112,0.047820570923336976
21,0.05863374560969333,0.046727448066358444
22,0.057007781793809914,0.04953232039187155
23,0.061721484102819066,0.047630570809777874
24,0.059751778764471616,0.04847084914257571
25,0.06084244204812671,0.04774773870403432
26,0.057223659294517074,0.04820245221155147
27,0.0563586150334306,0.048598880257636104
28,0.05495248871715101,0.04739340165732046
29,0.055652569637519037,0.04818853401189849
30,0.05821376701127993,0.0471877502883491
31,0.05767583479620006,0.0472616504858669
32,0.05795371276773002,0.04679853528457349
