epoch,train_reconstruction_loss,validation_reconstruction_loss
1,0.07164572025498189,0.2973917655936683
2,0.02595469938940533,0.24932593260413738
3,0.023228244028449564,0.14865718572863088
4,0.02720603341044929,0.23439378962182866
5,0.019392873062023155,0.19385476661568496
6,0.01580511946073498,0.17603092898448178
7,0.014366688766373566,0.11904587027222066
8,0.014202545637367307,0.1455015836072321
9,0.01332908672607689,0.1417665782223443
10,0.012571393450451503,0.13975304775965394
11,0.024614281944499702,0.20068528709951663
12,0.013559386994208935,0.09401934650812964
13,0.011350950417969224,0.11086049780329776
14,0.011127710996237708,0.11678376852570176
15,0.01156044961577242,0.1129520432838541
16,0.012025810906214296,0.13052141572470585
17,0.010694143196504842,0.1628220804646266
18,0.012016885356297151,0.10479310001339147
19,0.010746726314688287,0.13547867899937927
20,0.010720465864266344,0.11791037110263321
21,0.01194224522280939,0.1267598152356469
22,0.011413834865923515,0.10496395906365619
23,0.010590724037876103,0.11837700363140652
