timestamp,temp_before,temp_pred_last,temp_lower_last,temp_upper_last,temp_univariate_outlier,temp_univariate_hit_count,temp_evaluated_count,temp_after,hum_before,hum_pred_last,hum_lower_last,hum_upper_last,hum_univariate_outlier,hum_univariate_hit_count,hum_evaluated_count,hum_after,mahalanobis_d2_last,mahalanobis_threshold,multivariate_outlier,multivariate_hit_count,co2_before,co2_pred_last,co2_lower_last,co2_upper_last,co2_univariate_outlier,co2_univariate_hit_count,co2_evaluated_count,co2_after,temp_correction,hum_correction,co2_correction,any_outlier
2026-06-16 00:00:00,26.4,26.4,26.141434890499045,26.65856510950095,False,0,1,26.4,49.03,49.03,47.48868994608667,50.57131005391333,False,0,1,49.03,0.0,9.21034037197618,False,0,365,,,,False,0,0,365.0,0.0,0.0,0.0,False
2026-06-16 00:05:00,26.3,26.338157163902906,26.079592054401953,26.59672227340386,False,0,1,26.3,49.43,49.2904017733821,47.74909171946877,50.83171182729543,False,0,1,49.43,0.18523622357469927,9.21034037197618,False,0,366,,,,False,0,0,366.0,0.0,0.0,0.0,False
2026-06-16 00:10:00,26.2,26.244016224348865,25.985451114847912,26.502581333849818,False,0,1,26.2,48.83,49.612549423878036,48.07123936996471,51.153859477791364,False,0,1,48.83,2.0140850610377674,9.21034037197618,False,0,364,365.90008998374367,361.1800250561739,370.6201549113134,False,0,1,364.0,0.0,0.0,0.0,False
2026-06-16 00:15:00,26.1,26.15517592245443,25.896610812953476,26.413741031955382,False,0,1,26.1,49.4,49.10759241724129,47.566282363327964,50.64890247115462,False,0,1,49.4,0.4990379022890802,9.21034037197618,False,0,362,364.21669760940495,359.4966326818352,368.9367625369747,False,0,1,362.0,0.0,0.0,0.0,False
2026-06-16 00:20:00,26.0,26.052536061150015,25.79397095164906,26.311101170650968,False,0,1,26.0,49.28,49.423017674992856,47.88170762107953,50.964327728906184,False,0,1,49.28,0.3547507611200427,9.21034037197618,False,0,363,362.2575643113362,357.53749938376643,366.97762923890593,False,0,1,363.0,0.0,0.0,0.0,False
2026-06-16 00:25:00,26.0,25.97035123699805,25.711786127497096,26.228916346499002,False,0,1,26.0,48.48,49.372729930549056,47.83141987663573,50.914039984462384,False,0,1,48.48,2.2546423321560143,9.21034037197618,False,0,364,363.0466544676644,358.32658954009463,367.76671939523413,False,0,1,364.0,0.0,0.0,0.0,False
2026-06-16 00:30:00,25.9,25.965554472136134,25.70698936263518,26.224119581637087,False,0,1,25.9,49.9,48.72821377891064,47.186903724997315,50.26952383282397,False,0,1,49.9,4.074068880654076,9.21034037197618,False,0,361,364.3855298876876,359.66546496011784,369.10559481525735,False,0,1,361.0,0.0,0.0,0.0,False
2026-06-16 00:35:00,25.8,25.850842772879485,25.592277663378532,26.109407882380438,False,0,1,25.8,48.9,49.96042436473967,48.419114310826345,51.501734418653,False,0,1,48.9,3.5746788201265316,9.21034037197618,False,0,361,361.1528642625948,356.43279933502504,365.87292919016454,False,0,1,361.0,0.0,0.0,0.0,False
2026-06-16 00:40:00,25.7,25.754339247647184,25.49577413814623,26.012904357148138,False,0,1,25.7,50.12,49.17327541683789,47.63196536292456,50.71458547075122,False,0,1,50.12,2.670429115799842,9.21034037197618,False,0,363,361.5668335799268,356.84676865235707,366.2868985074966,False,0,1,363.0,0.0,0.0,0.0,False
2026-06-16 00:45:00,25.6,25.65783572241488,25.399270612913927,25.916400831915833,False,0,1,25.6,50.75,50.133597133278066,48.59228707936474,51.674907187191394,False,0,1,50.75,1.3019917674135018,9.21034037197618,False,0,361,363.3380229135671,358.61795798599735,368.05808784113685,False,0,1,361.0,0.0,0.0,0.0,False
