timestamp,temp_before,temp_pred_last,temp_lower_last,temp_upper_last,temp_univariate_outlier,temp_univariate_hit_count,temp_evaluated_count,temp_after,hum_before,hum_pred_last,hum_lower_last,hum_upper_last,hum_univariate_outlier,hum_univariate_hit_count,hum_evaluated_count,hum_after,mahalanobis_d2_last,mahalanobis_threshold,multivariate_outlier,multivariate_hit_count,co2_before,co2_pred_last,co2_lower_last,co2_upper_last,co2_univariate_outlier,co2_univariate_hit_count,co2_evaluated_count,co2_after,temp_correction,hum_correction,co2_correction,any_outlier
2026-06-16 03:40:00,23.4,23.466217408455027,23.207652298954073,23.72478251795598,False,0,1,23.4,56.1,54.42817741091523,52.886867357001904,55.96948746482856,True,1,1,55.96948746482856,7.986500916882801,9.21034037197618,False,0,370,367.33235973957534,362.6122948120056,372.0524246671451,False,0,1,370.0,0.0,-0.1305125351714409,0.0,True
2026-06-16 04:40:00,22.8,22.814131181812265,22.55556607231131,23.072696291313218,False,0,1,22.8,57.83,56.17466836485763,54.6333583109443,57.71597841877096,True,1,1,57.71597841877096,7.661643605079647,9.21034037197618,False,0,372,369.22782172300725,364.5077567954375,373.947886650577,False,0,1,372.0,0.0,-0.11402158122903927,0.0,True
2026-06-16 06:30:00,22.9,22.891659998882893,22.648614249344355,23.134705748421432,False,0,2,22.9,59.1,57.21934875933796,55.73268591269875,58.706011605977174,True,2,2,58.706011605977174,7.208468927283441,9.21034037197618,True,1,381,379.64421010012364,374.79326118125937,384.4951590189879,False,0,2,381.0,0.0,-0.39398839402282704,0.0,True
2026-06-16 09:40:00,31.9,31.770144502856954,31.527098753318416,32.013190252395496,False,0,2,31.9,41.05,41.44095139775407,39.95428855111486,42.92761424439328,False,0,2,41.05,2.2823575608434297,9.21034037197618,False,0,365,369.80919334386283,364.95824442499855,374.6601422627271,True,1,2,365.0675953379122,0.0,0.0,0.06759533791222339,True
2026-06-16 13:00:00,40.4,40.6193838201294,40.36209006685361,40.87667757340519,False,0,3,40.4,27.5,28.713047175032322,27.21698272620476,30.209111623859886,False,0,3,27.5,9.999053523787818,9.21034037197618,True,3,368,365.02760205992024,359.8969441740753,370.15825994576517,False,0,3,368.0,0.0,0.0,0.0,True
2026-06-16 13:05:00,40.3,40.58391989398168,40.32662614070589,40.84121364725747,True,2,3,40.32662614070589,28.73,27.557319253108577,26.061254804281013,29.05338370193614,False,0,3,28.73,10.005969765859415,9.21034037197618,True,2,370,368.32738071421164,363.1967228283667,373.45803860005657,False,0,3,370.0,0.02662614070589342,0.0,0.0,True
2026-06-16 13:25:00,40.35,40.61595584582809,40.3586620925523,40.87324959910388,True,1,3,40.3586620925523,28.1,28.66149869959805,27.165434250770485,30.157563148425613,False,0,3,28.1,8.499282782262375,9.21034037197618,False,0,366,364.0786677911282,358.9480099052833,369.20932567697315,False,0,3,366.0,0.008662092552299328,0.0,0.0,True
2026-06-16 13:35:00,40.5,40.604228489303345,40.346934736027556,40.861522242579134,False,0,3,40.5,28.4,26.782336358296668,25.286271909469104,28.278400807124232,True,2,3,28.153730591288546,6.304554842836521,9.21034037197618,False,0,365,364.40662075241096,359.27596286656603,369.5372786382559,False,0,3,365.0,0.0,-0.2462694087114521,0.0,True
2026-06-16 14:30:00,41.2,40.984438617461194,40.727144864185405,41.24173237073698,True,1,3,41.19299501186982,27.18,26.938986334442475,25.44292188561491,28.43505078327004,False,0,3,27.18,4.7038261268594646,9.21034037197618,False,0,369,369.0007795950746,363.8701217092297,374.13143748091954,False,0,3,369.0,-0.007004988130184131,0.0,0.0,True
2026-06-16 14:40:00,41.3,41.56815747082539,41.3108637175496,41.82545122410118,True,2,3,41.31808340044823,25.83,27.02269210792605,25.526627659098487,28.518756556753615,False,0,3,25.83,11.397389186228235,9.21034037197618,True,3,369,370.7465386083831,365.6158807225382,375.87719649422803,False,0,3,369.0,0.018083400448233533,0.0,0.0,True
