epoch,train_reconstruction_loss,validation_reconstruction_loss
1,0.25353106813479775,0.06242198058187145
2,0.041442582822621685,0.027101835695235697
3,0.0276051534059113,0.01793865944986066
4,0.021598506902586925,0.013136179057230586
5,0.019022728625225693,0.011860748406097752
6,0.017397721138565917,0.011156821665306231
7,0.015941553323032105,0.011009072429223037
8,0.015378274237864639,0.010804877552376862
9,0.014344964636974548,0.010957220932054142
10,0.01422585468254473,0.009939827834661056
11,0.013424058879840455,0.010036070253827597
12,0.013099223981318001,0.01012157048625004
13,0.012934034676227259,0.008925963918780526
14,0.01205681911223147,0.008992461320602859
15,0.011813172719709268,0.00949095999534969
16,0.011992687735808631,0.009344348213146501
17,0.011594086390447943,0.009505076850174403
18,0.011561878327892659,0.009481306403894487
19,0.011279069494507084,0.00964180502611171
20,0.011090465308460471,0.009005289113353172
21,0.01106474663781589,0.009441323533306562
22,0.011002924017710228,0.008937948939553143
23,0.010441045429914782,0.009338501966813554
24,0.010581815793906173,0.009253874792676309
