column,mae,masked_cells,model_name,rmse,split
__all__,6.909026215252153,15725,modern_tcn,31.932263825944222,validation
in_medium_temp1,1.5425872391061002,583.0,modern_tcn,2.361254906094183,validation
in_medium_temp2,4.894032263762927,576.0,modern_tcn,7.8539978029764,validation
in_temp,1.1008880948431636,581.0,modern_tcn,1.857689749009488,validation
in_temp2,0.9510461772886823,595.0,modern_tcn,1.7969828584134393,validation
in_water_hot,1.337979725729325,600.0,modern_tcn,2.211607010087648,validation
in_water_cold,2.1104868216546064,569.0,modern_tcn,3.171903301695528,validation
in_hum,2.3534033606784255,627.0,modern_tcn,3.9586815156753423,validation
in_hum2,2.7242864623278247,660.0,modern_tcn,4.359854305208417,validation
in_medium_hum1,0.09392325605185135,622.0,modern_tcn,0.11961633563669066,validation
in_medium_hum2,0.5601798750890351,618.0,modern_tcn,0.7998173662985959,validation
in_co2,8.496381453996504,606.0,modern_tcn,11.991825882262264,validation
in_co2_2,7.98962576219261,640.0,modern_tcn,11.985881240647116,validation
in_medium_ec1,0.011611322269965675,617.0,modern_tcn,0.016379015060105875,validation
in_medium_ec2,0.022452942817098722,612.0,modern_tcn,0.03387584809737995,validation
etc_blackout,0.02875647900341931,590.0,modern_tcn,0.040892050717103286,validation
etc_plc_abnorm,0.02056042971969233,614.0,modern_tcn,0.030252462426429965,validation
etc_plc_norm,0.1331169781892697,621.0,modern_tcn,0.2067916112342992,validation
out_temp,0.9397347111458146,616.0,modern_tcn,1.6786153922159728,validation
out_hum,3.762867003584146,603.0,modern_tcn,6.566091573019151,validation
out_winddirec,52.81744823658198,607.0,modern_tcn,74.16068506354074,validation
out_windsp,0.45393376760017634,619.0,modern_tcn,0.6367369753117242,validation
out_light,83.76913261855023,613.0,modern_tcn,142.28914550353434,validation
out_light_sum,0.018295722494403453,583.0,modern_tcn,0.025019259273848553,validation
out_rainfall,0.4313956687191833,581.0,modern_tcn,1.7026592485889809,validation
out_rain,0.11339541778972387,588.0,modern_tcn,0.23168662974925705,validation
out_airpress,1.3286402934577213,584.0,modern_tcn,1.868024251984425,validation
__all__,13.320390600102732,17222,modern_tcn,93.00752638065468,test
in_medium_temp1,1.4942272504681524,673.0,modern_tcn,2.384279661402224,test
in_medium_temp2,5.934353096957094,666.0,modern_tcn,10.485539154738278,test
in_temp,1.4037836080076607,678.0,modern_tcn,2.302302700935868,test
in_temp2,1.6263479593867023,665.0,modern_tcn,3.1749052708796572,test
in_water_hot,16.747503902668978,660.0,modern_tcn,63.90054540433442,test
in_water_cold,12.120959026613725,651.0,modern_tcn,35.41576603047931,test
in_hum,3.2670902479142074,651.0,modern_tcn,6.916330389204629,test
in_hum2,3.3937417489658768,654.0,modern_tcn,7.195799045699587,test
in_medium_hum1,1.8726816922874459,680.0,modern_tcn,7.406608873972253,test
in_medium_hum2,4.2333527241160525,685.0,modern_tcn,13.848487355038518,test
in_co2,48.522532370676906,623.0,modern_tcn,219.80782922942507,test
in_co2_2,87.383622217472,647.0,modern_tcn,325.6159502938269,test
in_medium_ec1,0.19743630796155134,647.0,modern_tcn,0.8378532161360703,test
in_medium_ec2,0.2540071560488134,648.0,modern_tcn,1.015437287310273,test
etc_blackout,0.04319590874061994,652.0,modern_tcn,0.0986259822415192,test
etc_plc_abnorm,0.04612153339566606,693.0,modern_tcn,0.12957553711067757,test
etc_plc_norm,0.1275554624762792,637.0,modern_tcn,0.21214675201519828,test
out_temp,1.7116551782305818,690.0,modern_tcn,3.188867403539878,test
out_hum,3.711924524230261,689.0,modern_tcn,8.5187243625135,test
out_winddirec,43.26958186841066,603.0,modern_tcn,63.44168833797581,test
out_windsp,2.4738599289958207,704.0,modern_tcn,8.84559337768522,test
out_light,103.22002463845774,666.0,modern_tcn,254.38103280142565,test
out_light_sum,0.0330862735780023,695.0,modern_tcn,0.06966647474517966,test
out_rainfall,2.88165725927749,646.0,modern_tcn,10.239135892591857,test
out_rain,0.14824991541023472,653.0,modern_tcn,0.3168979519849372,test
out_airpress,8.184348009521194,666.0,modern_tcn,33.35012924302307,test
__all__,7.045589998422875,15725,timesnet,32.54098046313141,validation
in_medium_temp1,1.5801652368959203,583.0,timesnet,2.6222094007326886,validation
in_medium_temp2,4.996616144696957,576.0,timesnet,8.221984273951513,validation
in_temp,1.0872624500425407,581.0,timesnet,1.8601056255736268,validation
in_temp2,1.147032955708893,595.0,timesnet,1.9937304393190427,validation
in_water_hot,1.76559682983807,600.0,timesnet,2.4985296272000164,validation
in_water_cold,2.19747951468773,569.0,timesnet,3.255537316573136,validation
in_hum,2.4743493614178056,627.0,timesnet,4.145736413042772,validation
in_hum2,2.552489443687088,660.0,timesnet,4.407450276676896,validation
in_medium_hum1,0.08405695471555431,622.0,timesnet,0.12860851551796126,validation
in_medium_hum2,0.5841014857741598,618.0,timesnet,0.8427770840972213,validation
in_co2,8.501427870060688,606.0,timesnet,12.142465767785088,validation
in_co2_2,7.943854865843619,640.0,timesnet,12.031058127055072,validation
in_medium_ec1,0.008971435266045984,617.0,timesnet,0.012952436700444077,validation
in_medium_ec2,0.026069813184398813,612.0,timesnet,0.03606082800423482,validation
etc_blackout,0.002876455850615087,590.0,timesnet,0.0038119023846953843,validation
etc_plc_abnorm,0.014532798857212747,614.0,timesnet,0.020128503329427946,validation
etc_plc_norm,0.1343152645957021,621.0,timesnet,0.22805923683058274,validation
out_temp,1.0418206482776087,616.0,timesnet,1.7594193299983516,validation
out_hum,3.765309559429712,603.0,timesnet,6.90422459795513,validation
out_winddirec,49.61390901224918,607.0,timesnet,73.54081298921757,validation
out_windsp,0.4244449293436034,619.0,timesnet,0.6075278904312222,validation
out_light,89.35349816527436,613.0,timesnet,146.01550650924153,validation
out_light_sum,0.0028770382626510924,583.0,timesnet,0.004022676816283235,validation
out_rainfall,0.4063128202973886,581.0,timesnet,1.8317404635317498,validation
out_rain,0.10703433893799907,588.0,timesnet,0.24049723523617034,validation
out_airpress,1.717369361484244,584.0,timesnet,2.313422922591246,validation
__all__,13.828710889141718,17222,timesnet,106.03440066656862,test
in_medium_temp1,1.459772280079412,673.0,timesnet,2.423471695817853,test
in_medium_temp2,5.504731325378363,666.0,timesnet,9.843275685979025,test
in_temp,1.7624247131083606,678.0,timesnet,3.3918284724679957,test
in_temp2,1.6688706421285078,665.0,timesnet,3.3006033376335804,test
in_water_hot,16.70625059557372,660.0,timesnet,62.49000528159737,test
in_water_cold,9.444640504271327,651.0,timesnet,27.13295886902902,test
in_hum,3.3298396397302046,651.0,timesnet,6.855949474855283,test
in_hum2,3.4836392796198896,654.0,timesnet,6.747950992843338,test
in_medium_hum1,1.644984090980157,680.0,timesnet,7.1832398024646285,test
in_medium_hum2,3.958569429485735,685.0,timesnet,13.252944890386164,test
in_co2,63.87722986126557,623.0,timesnet,327.5769302964292,test
in_co2_2,77.39027599967939,647.0,timesnet,307.7399510471674,test
in_medium_ec1,0.19932860900998653,647.0,timesnet,0.8437414666856631,test
in_medium_ec2,0.17902279048131045,648.0,timesnet,0.9006097598201587,test
etc_blackout,0.004241443467340746,652.0,timesnet,0.008329499532535669,test
etc_plc_abnorm,0.03291232238858293,693.0,timesnet,0.10818826530053945,test
etc_plc_norm,0.14355058391074926,637.0,timesnet,0.24215961918033033,test
out_temp,1.4394571864487822,690.0,timesnet,2.4592886079133667,test
out_hum,4.197427594012061,689.0,timesnet,9.136567518132452,test
out_winddirec,39.86122943275838,603.0,timesnet,62.23870381045628,test
out_windsp,2.1884598628679934,704.0,timesnet,8.464563781594741,test
out_light,115.80502821051745,666.0,timesnet,295.2437584980162,test
out_light_sum,0.00778439355580297,695.0,timesnet,0.02575038755908217,test
out_rainfall,2.5938865908478674,646.0,timesnet,9.994759407336716,test
out_rain,0.14196519701766408,653.0,timesnet,0.31325672060941173,test
out_airpress,10.754899766980472,666.0,timesnet,48.74777770074659,test
__all__,6.9793085766347005,15725,patch_tst,32.129682996896435,validation
in_medium_temp1,1.4318523249976538,583.0,patch_tst,2.2821228507083284,validation
in_medium_temp2,4.1504439632432355,576.0,patch_tst,7.567942028981585,validation
in_temp,1.0257810630273172,581.0,patch_tst,1.8261131170783298,validation
in_temp2,0.9457885771012972,595.0,patch_tst,1.7866745104483488,validation
in_water_hot,1.3237849677348812,600.0,patch_tst,2.2420900411983,validation
in_water_cold,2.457996974895765,569.0,patch_tst,3.38055354251026,validation
in_hum,2.3059917441859534,627.0,patch_tst,3.9591215031364864,validation
in_hum2,2.55933183385976,660.0,patch_tst,4.2716493968776375,validation
in_medium_hum1,0.1220105924584424,622.0,patch_tst,0.15098264540077028,validation
in_medium_hum2,0.6070225107720065,618.0,patch_tst,0.839171507349067,validation
in_co2,8.714345431451061,606.0,patch_tst,12.119339999011778,validation
in_co2_2,8.919867541711175,640.0,patch_tst,12.58297096159301,validation
in_medium_ec1,0.01671096729761819,617.0,patch_tst,0.021424432955802066,validation
in_medium_ec2,0.03227100614716951,612.0,patch_tst,0.04248326741527456,validation
etc_blackout,0.00652432675962731,590.0,patch_tst,0.009088000004267235,validation
etc_plc_abnorm,0.005528496208233632,614.0,patch_tst,0.007886205291991537,validation
etc_plc_norm,0.121248614595764,621.0,patch_tst,0.1990686474384109,validation
out_temp,0.9189515556079582,616.0,patch_tst,1.6743542800889826,validation
out_hum,3.7207248124818286,603.0,patch_tst,6.516378065800243,validation
out_winddirec,50.30988607309651,607.0,patch_tst,73.9792141368826,validation
out_windsp,0.44563043304169203,619.0,patch_tst,0.64162870033928,validation
out_light,87.46228380648179,613.0,patch_tst,143.46659596781723,validation
out_light_sum,0.007823979574707728,583.0,patch_tst,0.010710365086424976,validation
out_rainfall,0.5203393703432138,581.0,patch_tst,1.7729421062214796,validation
out_rain,0.10581410457163726,588.0,patch_tst,0.23240501567711577,validation
out_airpress,1.5021546219525905,584.0,patch_tst,2.038103407992901,validation
__all__,13.441500427485055,17222,patch_tst,94.05540088566993,test
in_medium_temp1,1.644233201004792,673.0,patch_tst,2.4376266787107657,test
in_medium_temp2,5.014454436593857,666.0,patch_tst,10.090816240776858,test
in_temp,1.2930415883233461,678.0,patch_tst,2.232437502394928,test
in_temp2,1.1810741323746676,665.0,patch_tst,2.535660970065115,test
in_water_hot,16.39330519224419,660.0,patch_tst,63.63196286343625,test
in_water_cold,11.071761306318175,651.0,patch_tst,32.95137206651361,test
in_hum,3.832887806249005,651.0,patch_tst,7.360885469119262,test
in_hum2,3.5988551077940616,654.0,patch_tst,6.782840469305822,test
in_medium_hum1,1.763043954559359,680.0,patch_tst,7.237883876004223,test
in_medium_hum2,4.017584351275237,685.0,patch_tst,13.215221865403958,test
in_co2,54.98661811427612,623.0,patch_tst,252.82343079922882,test
in_co2_2,81.51428219113774,647.0,patch_tst,308.288248073527,test
in_medium_ec1,0.20269249036440026,647.0,patch_tst,0.8490704528600368,test
in_medium_ec2,0.196766029534941,648.0,patch_tst,0.8912198241999083,test
etc_blackout,0.009464058727940167,652.0,patch_tst,0.01719765223620066,test
etc_plc_abnorm,0.008387394260190438,693.0,patch_tst,0.012313080383558444,test
etc_plc_norm,0.12316543250062369,637.0,patch_tst,0.2094440413791874,test
out_temp,1.221964142774017,690.0,patch_tst,2.341451601167314,test
out_hum,4.436662115330005,689.0,patch_tst,8.884655891364961,test
out_winddirec,40.40492169097549,603.0,patch_tst,60.94204374482445,test
out_windsp,2.3689622230159717,704.0,patch_tst,8.647682670861878,test
out_light,110.27747922420784,666.0,patch_tst,257.23811075821175,test
out_light_sum,0.012776816652404318,695.0,patch_tst,0.0195965793818656,test
out_rainfall,2.8085919880074,646.0,patch_tst,10.061278216822124,test
out_rain,0.1365295199145544,653.0,patch_tst,0.2842690093337316,test
out_airpress,8.8882079042534,666.0,patch_tst,36.20220761693225,test
