epoch,train_reconstruction_loss,validation_reconstruction_loss
1,0.4765818636111223,0.21834188619175474
2,0.21685034989333543,0.13934909199943413
3,0.16343968748394908,0.12256640417350305
4,0.1404429640356309,0.11137767453250047
5,0.1196457651224944,0.09999538253288011
6,0.11353571635614979,0.09654168069765375
7,0.10768307598887897,0.09139193111174815
8,0.09999238915456449,0.08620316489926867
9,0.10138847581187233,0.0840231870879998
10,0.09365347907191417,0.0810190652673309
11,0.09751834946333385,0.07909355332722535
12,0.08986419866808125,0.07769426023839293
13,0.08439252564245886,0.07743118919834897
14,0.08300530979704987,0.07247690332902444
15,0.09004099031940835,0.07239520391197624
16,0.08202512024856004,0.07112066548418354
17,0.08081080168078505,0.06988329163475616
18,0.08210057050722544,0.06821026381205868
19,0.07716959281290164,0.06764308760899145
20,0.08212961679925032,0.06544314642008897
21,0.07684861426877845,0.06574253350294926
22,0.07374955316791769,0.0657044808959236
23,0.07631821020460519,0.06601255507888021
24,0.07624835897583128,0.06542012566146818
25,0.0740555205835345,0.06465858271395838
26,0.07191388579747064,0.06433267425745726
27,0.06898073727885883,0.06308787998214767
28,0.06904781355313916,0.06119390322851974
29,0.07027953201548649,0.061008171253913154
30,0.07157205674247663,0.061033707615491505
31,0.0704746611131345,0.05947033904895589
32,0.0711073618524713,0.0586864651759734
33,0.07049366988526667,0.060288281104451905
34,0.06845092938327399,0.05955549518300875
35,0.06825608994221427,0.0597224659160585
36,0.06861465558653972,0.06119676961286648
37,0.06909669823741,0.05760702091848125
38,0.06822468401467213,0.0592279680123603
39,0.06646824624043345,0.05802213848644012
40,0.06739508531621245,0.05932848150464329
41,0.06930760835689273,0.05852365226963082
42,0.06711071980048398,0.05748432660727082
43,0.06420474442465057,0.0583525047058592
44,0.06988954979702423,0.05695877501086609
45,0.06293318907175559,0.056669367678664824
46,0.0634258565151952,0.0563843137509114
47,0.0637889268395842,0.055962275122166484
48,0.06309284951761772,0.0566165016309635
49,0.062449960506271794,0.056393647868488286
50,0.064197910064068,0.05585152308481771
51,0.06836383665601413,0.05812054467261643
52,0.06403514799850235,0.05614920544463235
53,0.06573040889260548,0.05739091227233813
54,0.06667817119366484,0.05523113762909496
55,0.06034972393488298,0.05471690658580612
56,0.06037776047984759,0.05562604460361842
57,0.06311560708194808,0.05465866635377343
58,0.060988415684042084,0.05534062902065548
59,0.0587403027371305,0.055407261828313
60,0.060731455866919186,0.0560231836059609
61,0.06269001425371144,0.054989407745164795
62,0.061303089530578725,0.05531904715541247
63,0.05825737681585909,0.052669536070646464
64,0.0596358243152092,0.054388119990157115
65,0.05830828589005548,0.05443764904614638
66,0.06042282837010472,0.05478470475488418
67,0.05794494624549899,0.05354661271731193
68,0.05773272381617072,0.05356596246663783
69,0.06271938174515149,0.05589916307881877
70,0.05936236215419457,0.05393762318920847
71,0.05773219932379618,0.05391924363888196
72,0.06023022096828033,0.05397227814270032
73,0.06032470957747574,0.05338192237792788
74,0.05762833481033643,0.053612893799672254
