epoch,train_reconstruction_loss,validation_reconstruction_loss
1,23.79257447520892,0.2271502249546953
2,0.15633831963024505,0.16128099025101275
3,0.11200175291853524,0.11104828793857549
4,0.09225652519552434,0.08787253760808222
5,0.07902105018252233,0.08902824808516212
6,0.07066161596709913,0.07565488719312172
7,0.06766870571045927,0.07239526837145456
8,0.05768617924526741,0.05681338522432221
9,0.05235247015749496,0.06067552306764835
10,0.048604675533015874,0.056499453123054794
11,0.04665140744522621,0.04375822874843269
12,0.0424683471133963,0.04185348582403684
13,0.039417935087462594,0.04351820446852896
14,0.03977530000761884,0.041584854819686025
15,0.03628078370757116,0.0361536697459382
16,0.0353098675059002,0.03488336025258979
17,0.03306126444921142,0.03015578243680097
18,0.03172692838710188,0.028067905455827713
19,0.029949221576823563,0.026956392083996656
20,0.028181600521822444,0.0287855239585042
21,0.02710265322216873,0.024957581763029903
22,0.025296292089617967,0.02665076105276475
23,0.024109350039007885,0.026753879705997737
24,0.023976500237696482,0.02704389831302939
25,0.021640138914350602,0.020828380803200038
26,0.02374651083529321,0.019891492380584415
27,0.02251929476796115,0.02458062264564875
28,0.020645445691106098,0.025939785825038277
29,0.0218028206469827,0.025005166670559225
30,0.021093619076402788,0.021241691592778708
31,0.021866578827586657,0.026265615547025525
32,0.020921904629330492,0.034853618843732656
33,0.020059062000058712,0.02631814022724693
34,0.02058074230460521,0.019807362754363567
35,0.020627502570834642,0.017466445711466508
36,0.020528744926543836,0.02050604916655937
37,0.02093680015169695,0.01520115465894845
38,0.01954835881809882,0.01464092458430772
39,0.019206009998591872,0.017709507990779506
40,0.021084654969392252,0.017408665075325534
41,0.01807984243823938,0.01654362031636206
42,0.019172534087031592,0.017602071997488738
43,0.017979022965364442,0.01742974242212792
44,0.018186147222957,0.02191726113213352
45,0.018093434752784465,0.02108982518611073
46,72151.27689647849,2.697285888817262
47,2.169891357421875,1.553054639213794
48,1.307297311845373,1.0753085223605503
49,0.9330102817608359,0.8206835251200844
