epoch,train_reconstruction_loss,validation_reconstruction_loss
1,0.2255749326058716,0.08791960253402954
2,0.0995311393283905,0.07539294202380427
3,0.09656727608767743,0.07035849067359799
4,0.08239054409040243,0.06666384037674927
5,0.09633067772143854,0.06573484102036894
6,0.08885261816201064,0.06553046231544236
7,0.08084950256073531,0.06675671121650716
8,0.06469274179148927,0.061964118739635476
9,0.06679317260046823,0.06113472497431425
10,0.07053188521652219,0.06270784177113234
11,0.06490920659567598,0.06277059010661594
12,0.08187800024653662,0.06341392829128337
13,0.08781713237085398,0.071096882723817
14,0.06651110296743869,0.06168449130022853
15,0.0686247398865954,0.0653856286279312
16,0.0642601720777885,0.05992763668366867
17,0.0716986475745216,0.06310879747474157
18,0.07016378759960029,0.06664384351816119
19,0.06139181614501999,0.05944084764526385
20,0.06207705983443994,0.06259714968775104
21,0.059523608895756724,0.061563650475496924
22,0.07565720854458874,0.06299836905786722
23,0.061658316722385725,0.06281894456776904
24,0.0573507599216306,0.06073543040377156
25,0.09815530754836663,0.06736511759823416
26,0.06752813283687914,0.06371714726158577
27,0.10843596502233578,0.0640849691713456
28,0.0706778781813622,0.07705834273975797
29,0.05514333001557597,0.06166082621188607
30,0.06103141578177939,0.06055322877790143
