epoch,train_reconstruction_loss,validation_reconstruction_loss
1,0.04621547612618923,0.13500177752103623
2,0.02105980523801642,0.22551442151183773
3,0.028007670622052797,0.134705161592836
4,0.016028098553120616,0.13063352158718505
5,0.12380557971434364,0.12131350830221234
6,0.014665081695967006,0.14018819976665675
7,0.13494075098989042,0.7802366220210339
8,0.19000904177173897,0.13650373727037335
9,0.015574460567945276,0.12835307106284527
10,0.03920942235356177,0.15801496809976412
11,0.01606830532638581,0.1338080578563243
12,0.014117654654318657,0.11536644803988824
13,0.06047979894088582,0.17874053895661596
14,0.017466539569383648,0.23049656401624646
15,0.015398616800656517,0.12221307470313843
16,0.013322449604115626,0.11891803347872992
17,0.016176102117508133,0.14181302930739176
18,0.012057505849554633,0.40464220380649357
19,0.16137346005673214,0.132843545222717
20,0.01921589158115719,0.12729602096589215
21,0.011602760554955458,0.12656422984462143
22,0.11708266017941268,0.13470415517770484
23,1.979010024325953,0.17377918321164773
