epoch,train_reconstruction_loss,validation_reconstruction_loss
1,0.5960826533582976,0.22311345996653162
2,0.299479058398953,0.1514591655534942
3,0.2180869458418972,0.12663840229918316
4,0.1773551547161813,0.11629472200463457
5,0.14645930261895904,0.10615012308628094
6,0.14023629456477346,0.10187797584548229
7,0.12262169248863773,0.09734865150800566
8,0.10328890550178739,0.09399185693118631
9,0.10695692157056534,0.08973678337728105
10,0.11807927366275832,0.0873206991066293
11,0.10726678104333158,0.08572584249806113
12,0.10402144398540258,0.08572899123154036
13,0.10446394628511285,0.08217931688740486
14,0.09302605811576799,0.0796523682500531
15,0.09881833793138559,0.08006495723455417
16,0.08542698145545316,0.07785282011439161
17,0.0908286323384294,0.0785047334687012
18,0.09994728905412387,0.07533492702173024
19,0.08102839508638629,0.07625735769184624
20,0.08272610963234361,0.07480944786220789
21,0.07730990693957177,0.07310652610187124
22,0.08349443829776544,0.07217176556132915
23,0.08064989931881428,0.07182078658625847
24,0.07729137080879707,0.07115950594406302
25,0.07484681719808646,0.06974187629615389
26,0.07739756186053438,0.07123997369099681
27,0.07945266891411452,0.07089358484145344
28,0.08321650146137712,0.06930318917715694
29,0.06732523377176444,0.07104999803733535
30,0.07369552369949953,0.06952727499713258
31,0.07474826872875949,0.06957913237828307
32,0.06925985251360063,0.06858506446658838
33,0.07425567210774939,0.0693233897909522
34,0.06817671610921058,0.06876033633129626
35,0.06614725120400763,0.06849838404848081
36,0.06647559939795789,0.06866316781265706
37,0.06284033623084707,0.06868016858380742
38,0.06469442220053302,0.06812107256363804
39,0.06825834529404089,0.06784235247660701
40,0.061511915844847574,0.06701665746456967
41,0.06558393803864436,0.06566737621750046
42,0.06282114419418405,0.06573766451783297
43,0.05876539963877426,0.06631184953105886
44,0.059764123644750075,0.06626524122023
45,0.05540102505002101,0.06684510537037035
46,0.05801870078199877,0.06551946597400962
47,0.06439778408176212,0.06917737142705335
48,0.060363084728003676,0.06458350318688445
49,0.060601211328692034,0.06618444049140303
50,0.056410193337865594,0.06570213994511016
51,0.06008902184208328,0.06594605802944521
52,0.06181831879295268,0.06499896973098923
53,0.059987881080300176,0.06639016051663131
54,0.05669132919700922,0.06604685575315138
55,0.057158113369401894,0.06449290503543324
56,0.06371896433696714,0.06604826075547351
57,0.05793520357494928,0.06530727502867216
58,0.06106612412258983,0.06672139740662604
59,0.05706534560172344,0.06517639381402149
60,0.05671633128955398,0.06846840718261353
61,0.05320317152325275,0.06615999284223086
62,0.05604147947973238,0.06511807488277555
63,0.055970417072047605,0.06483573668704527
64,0.05155832220290629,0.06349763596748434
65,0.06318344325178636,0.06614816693089358
66,0.058562647797307875,0.06418403060879649
67,0.05446889526474307,0.06421722042397028
68,0.05254671362421985,0.06424252931937212
69,0.05141586657472939,0.0651499527483815
70,0.057451529814949574,0.06395444807755511
71,0.05043870381975792,0.06382300084593093
72,0.05625877005733409,0.06453042902143263
73,0.05191875732380827,0.06394408988516505
74,0.051146046012499426,0.06607197974694938
75,0.05306781578879311,0.06410623094203269
