epoch,train_reconstruction_loss,validation_reconstruction_loss
1,0.2681247854162331,0.9183984914954925
2,0.09612929149831191,0.8205848895630102
3,0.07680992904627247,0.7716366586935343
4,0.06573579644149428,0.722732143445767
5,0.05910850587927315,0.7222913664068706
6,0.058587259726024424,0.765689385777327
7,0.055638842113137285,0.7205677405169345
8,0.05279913994410695,0.7044443089178831
9,0.05166728054577499,0.6806543552646697
10,0.052033540916983395,0.6802376405434646
11,0.04880635633186589,0.6965437060043166
12,0.04658992789704129,0.6595714025921035
13,0.047521995096589026,0.6955953144779836
14,0.04701214568293801,0.6181357476570403
15,0.045147123288799634,0.6647639727969314
16,0.04479265356753166,0.7052411999343741
17,0.044821267379033754,0.6438246245175254
18,0.044313628062534874,0.7235594736042106
19,0.04264853389088483,0.6887539204052766
20,0.043798006278375295,0.6653189860201064
21,0.04331928985383974,0.6430530615678267
22,0.04326182189341648,0.6588823455586315
23,0.04261033789168625,0.6800320465426077
24,0.042232888527595734,0.6905237970216853
25,0.04157639160258045,0.7046077415603059
