model_name,test_f1,test_latency_ms_per_row,test_mae,test_model_size_bytes,test_peak_memory_bytes,test_pr_auc,test_precision,test_recall,test_rmse,test_roc_auc,validation_f1,validation_latency_ms_per_row,validation_mae,validation_model_size_bytes,validation_peak_memory_bytes,validation_pr_auc,validation_precision,validation_recall,validation_rmse,validation_roc_auc
modern_tcn,0.4680447787715453,0.4613093837104433,7.263987246508604,1261032,72787608,0.33946365156975933,0.4044219253800092,0.5554227876572714,35.00339564255299,0.8199262745901901,0.49662832209440705,0.43179345223849763,6.167693524946182,1261032,65876929,0.35477127720323215,0.42871818285583835,0.590102120974077,27.017356609105576,0.8087479715620379
timesnet,0.4793514997887621,0.4531783582238738,7.196172910469807,366312,67031708,0.3549871443521182,0.3838866567984775,0.6380122302663949,35.499161837937876,0.8266128647580244,0.4841573867854492,0.4376413956008576,5.886162802928861,366312,60150041,0.35658782092653246,0.3892098352828837,0.6403770620581304,28.1162418749483,0.8102435690255979
patch_tst,0.542247219736674,0.46545267439824956,7.008306995471376,487784,67018866,0.42816453331718035,0.4971579255786698,0.5963309200815351,34.341744483216324,0.8630048869042636,0.5498468393205235,0.4538569892584174,5.4660106088566485,487784,60218248,0.424452720089136,0.49368671083885485,0.6204241948153967,25.38510484397972,0.8467221458696976
