epoch,train_reconstruction_loss,validation_reconstruction_loss
1,0.42755648412935016,0.10859524463189811
2,0.3283875735019738,0.08989264175477552
3,0.28058756351962966,0.0867383744476772
4,0.23794245517830243,0.0777237697663467
5,0.2095266183100219,0.07826586365245464
6,0.1630619198857051,0.07785026673454701
7,0.1397810015071816,0.07586269569015358
8,0.11604478248869474,0.08240521308488963
9,0.11449603815475162,0.07380963898286587
10,0.11127215347973243,0.07338047963453502
11,0.08475704344411222,0.07117728130301325
12,0.09114878282899845,0.07180821325448228
13,0.07401683025132373,0.06979482937831341
14,0.10158730481909413,0.09216079470224497
15,0.11729521451974814,0.08347059193453411
16,0.08962916292882753,0.07795895706498768
17,0.09456187651826525,0.08043662242863964
18,0.0771555862969385,0.07577848014217324
19,0.08683676871840122,0.078304392898955
20,0.08725301169280736,0.07649346972565825
21,0.08088748273000403,0.07936375108888237
22,0.10399730808435464,0.07635026770394022
23,0.0751836122944951,0.07567745238179113
24,0.06673861642034268,0.07434452497741072
