candidate_name,epoch,model_name,train_reconstruction_loss,validation_reconstruction_loss
modern_tcn_seed42_candidate036,1,modern_tcn,0.04621547612618923,0.13500177752103623
modern_tcn_seed42_candidate036,2,modern_tcn,0.02105980523801642,0.22551442151183773
modern_tcn_seed42_candidate036,3,modern_tcn,0.028007670622052797,0.134705161592836
modern_tcn_seed42_candidate036,4,modern_tcn,0.016028098553120616,0.13063352158718505
modern_tcn_seed42_candidate036,5,modern_tcn,0.12380557971434364,0.12131350830221234
modern_tcn_seed42_candidate036,6,modern_tcn,0.014665081695967006,0.14018819976665675
modern_tcn_seed42_candidate036,7,modern_tcn,0.13494075098989042,0.7802366220210339
modern_tcn_seed42_candidate036,8,modern_tcn,0.19000904177173897,0.13650373727037335
modern_tcn_seed42_candidate036,9,modern_tcn,0.015574460567945276,0.12835307106284527
modern_tcn_seed42_candidate036,10,modern_tcn,0.03920942235356177,0.15801496809976412
modern_tcn_seed42_candidate036,11,modern_tcn,0.01606830532638581,0.1338080578563243
modern_tcn_seed42_candidate036,12,modern_tcn,0.014117654654318657,0.11536644803988824
modern_tcn_seed42_candidate036,13,modern_tcn,0.06047979894088582,0.17874053895661596
modern_tcn_seed42_candidate036,14,modern_tcn,0.017466539569383648,0.23049656401624646
modern_tcn_seed42_candidate036,15,modern_tcn,0.015398616800656517,0.12221307470313843
modern_tcn_seed42_candidate036,16,modern_tcn,0.013322449604115626,0.11891803347872992
modern_tcn_seed42_candidate036,17,modern_tcn,0.016176102117508133,0.14181302930739176
modern_tcn_seed42_candidate036,18,modern_tcn,0.012057505849554633,0.40464220380649357
modern_tcn_seed42_candidate036,19,modern_tcn,0.16137346005673214,0.132843545222717
modern_tcn_seed42_candidate036,20,modern_tcn,0.01921589158115719,0.12729602096589215
modern_tcn_seed42_candidate036,21,modern_tcn,0.011602760554955458,0.12656422984462143
modern_tcn_seed42_candidate036,22,modern_tcn,0.11708266017941268,0.13470415517770484
modern_tcn_seed42_candidate036,23,modern_tcn,1.979010024325953,0.17377918321164773
timesnet_seed42_candidate035,1,timesnet,0.027805074692950293,0.07583514647987179
timesnet_seed42_candidate035,2,timesnet,0.011200746881998859,0.08316859962273734
timesnet_seed42_candidate035,3,timesnet,0.010109380660259843,0.07884024182716746
timesnet_seed42_candidate035,4,timesnet,0.008386867118047165,0.09801824344004063
timesnet_seed42_candidate035,5,timesnet,0.00729637684006587,0.08381690434045282
timesnet_seed42_candidate035,6,timesnet,0.007186882378230819,0.08689400842378131
timesnet_seed42_candidate035,7,timesnet,0.007839177057813148,0.08850149957131921
timesnet_seed42_candidate035,8,timesnet,0.0076408725970963,0.0883412348323915
timesnet_seed42_candidate035,9,timesnet,0.006802752099682471,0.087248343156939
timesnet_seed42_candidate035,10,timesnet,0.006170518382122325,0.08966985542506126
timesnet_seed42_candidate035,11,timesnet,0.005725333310131831,0.07967282802143404
timesnet_seed42_candidate035,12,timesnet,0.006341440103986812,0.08244266243075841
patch_tst_seed42_candidate039,1,patch_tst,0.07164572025498189,0.2973917655936683
patch_tst_seed42_candidate039,2,patch_tst,0.02595469938940533,0.24932593260413738
patch_tst_seed42_candidate039,3,patch_tst,0.023228244028449564,0.14865718572863088
patch_tst_seed42_candidate039,4,patch_tst,0.02720603341044929,0.23439378962182866
patch_tst_seed42_candidate039,5,patch_tst,0.019392873062023155,0.19385476661568496
patch_tst_seed42_candidate039,6,patch_tst,0.01580511946073498,0.17603092898448178
patch_tst_seed42_candidate039,7,patch_tst,0.014366688766373566,0.11904587027222066
patch_tst_seed42_candidate039,8,patch_tst,0.014202545637367307,0.1455015836072321
patch_tst_seed42_candidate039,9,patch_tst,0.01332908672607689,0.1417665782223443
patch_tst_seed42_candidate039,10,patch_tst,0.012571393450451503,0.13975304775965394
patch_tst_seed42_candidate039,11,patch_tst,0.024614281944499702,0.20068528709951663
patch_tst_seed42_candidate039,12,patch_tst,0.013559386994208935,0.09401934650812964
patch_tst_seed42_candidate039,13,patch_tst,0.011350950417969224,0.11086049780329776
patch_tst_seed42_candidate039,14,patch_tst,0.011127710996237708,0.11678376852570176
patch_tst_seed42_candidate039,15,patch_tst,0.01156044961577242,0.1129520432838541
patch_tst_seed42_candidate039,16,patch_tst,0.012025810906214296,0.13052141572470585
patch_tst_seed42_candidate039,17,patch_tst,0.010694143196504842,0.1628220804646266
patch_tst_seed42_candidate039,18,patch_tst,0.012016885356297151,0.10479310001339147
patch_tst_seed42_candidate039,19,patch_tst,0.010746726314688287,0.13547867899937927
patch_tst_seed42_candidate039,20,patch_tst,0.010720465864266344,0.11791037110263321
patch_tst_seed42_candidate039,21,patch_tst,0.01194224522280939,0.1267598152356469
patch_tst_seed42_candidate039,22,patch_tst,0.011413834865923515,0.10496395906365619
patch_tst_seed42_candidate039,23,patch_tst,0.010590724037876103,0.11837700363140652
