epoch,train_reconstruction_loss,validation_reconstruction_loss
1,0.435827080810548,0.05401976055624645
2,0.3278024907285383,0.030140067683532834
3,0.34991463926128763,0.022525594825288507
4,0.27185485196818227,0.014310059978104219
5,0.2600260236441105,0.012595677482838765
6,0.21822554944302747,0.011423606905382036
7,0.21812328725903876,0.013092368179591508
8,0.2109722154201799,0.009988871464085562
9,0.15525469829367897,0.008761151641232484
10,0.13265162410504483,0.009314909646934943
11,0.11792863385953922,0.018389177781234427
12,0.11085700149261304,0.013490963147998584
13,0.09899448469404201,0.02079738487444091
14,0.06290354857985633,0.007921378812525512
15,0.07276555294619065,0.012525010646729753
16,0.05534887707678004,0.007096256065557189
17,0.04957940667112059,0.013019324689194924
18,0.047974533546399675,0.007649608365992629
19,0.03767894286407544,0.00902853177423112
20,0.053708630532711604,0.02218698709635291
21,0.06312556228741019,0.009162796022393173
22,0.04216007029259894,0.007686875908203968
23,0.024175137301186485,0.00610933725000927
24,0.024656899583104224,0.0065438871111482295
25,0.022171355469837645,0.006115989851844837
26,0.024376740974576195,0.005934851607534944
27,0.02024437288011266,0.006541751096558916
28,0.028258677360048202,0.006543757665118702
29,0.04215579451927212,0.008154325328466324
30,0.021192552842516102,0.005667524540757124
31,0.014233980536513592,0.00630001702896751
32,0.024267501443765074,0.005547646964082449
33,0.024417907516867416,0.00522498694665889
34,0.026210861934023857,0.0051912448231255775
35,0.023646837843907118,0.005149454579734039
36,0.016368976540485712,0.004793739409140516
37,0.031279406906764534,0.005011071104601752
38,0.0183816156004125,0.004548207971710348
39,0.013810731482665704,0.004580543859203051
40,0.011623426968723817,0.004151855585471977
41,0.02607426854983886,0.004994546485959734
42,0.020409865884707785,0.01134757141912038
43,0.051932015437588866,0.005118508684795305
44,0.02721979441604454,0.004282411068632472
45,0.014017209609452073,0.004413570859469473
46,0.02944919410796467,0.00549240874817947
47,0.021842384187313553,0.004664345788513878
48,0.015889884038050747,0.004097454962192853
49,0.011335175998403498,0.004106988695949861
50,0.015346574502610514,0.004173779642215089
51,0.011630064186767482,0.0038380461891193126
52,0.01915720753637494,0.004772177601386453
53,0.017061771799146884,0.004391483585605762
54,0.039438413939315756,0.005155520430601361
55,0.03127597531475092,0.004063147826478022
56,0.021462810496505315,0.004217402330917738
57,0.022560802176331152,0.004330711538630833
58,0.020692276444949455,0.004110516424478236
59,0.025847051404131013,0.005622228452788166
60,0.013900172125157144,0.004381272459130098
61,0.01954236264968783,0.004090925382603551
62,0.018041147502855275,0.004284385185356524
