epoch,train_reconstruction_loss,validation_reconstruction_loss
1,0.16059232853761274,0.08459762753597622
2,0.4148970067603131,0.4429737203336995
3,0.4487274450084118,0.6203772387114065
4,0.46159463024710956,0.7795802965246398
5,0.4753938813732095,0.49772976965739807
6,0.43401260290243854,0.5319273365982647
7,0.42466648449636485,0.5278506479386625
8,0.44822630492383486,0.5895414544076755
9,0.4282971914691774,0.5943067702496874
10,0.4646165228461566,0.6960315383199988
11,0.42548449562020496,0.7504234854517312
12,0.35968138987887394,0.5190138803345377
