stage,analysis_start,analysis_end,column,rows,missing_count,non_missing_count,missing_ratio,missing_ratio_pct,data_start,data_end,period_days
raw_db_fetch,2024-03-06 00:00:00,2026-06-06 00:00:00,reg_date,197485,0,197485,0.0,0.0,2024-03-06 12:20:00,2026-06-05 23:55:00,821.4826388888889
raw_db_fetch,2024-03-06 00:00:00,2026-06-06 00:00:00,out_windsp,197485,0,197485,0.0,0.0,2024-03-06 12:20:00,2026-06-05 23:55:00,821.4826388888889
raw_db_fetch,2024-03-06 00:00:00,2026-06-06 00:00:00,out_winddirec,197485,0,197485,0.0,0.0,2024-03-06 12:20:00,2026-06-05 23:55:00,821.4826388888889
raw_db_fetch,2024-03-06 00:00:00,2026-06-06 00:00:00,out_temp,197485,0,197485,0.0,0.0,2024-03-06 12:20:00,2026-06-05 23:55:00,821.4826388888889
raw_db_fetch,2024-03-06 00:00:00,2026-06-06 00:00:00,out_rain,197485,0,197485,0.0,0.0,2024-03-06 12:20:00,2026-06-05 23:55:00,821.4826388888889
raw_db_fetch,2024-03-06 00:00:00,2026-06-06 00:00:00,out_light,197485,0,197485,0.0,0.0,2024-03-06 12:20:00,2026-06-05 23:55:00,821.4826388888889
raw_db_fetch,2024-03-06 00:00:00,2026-06-06 00:00:00,out_hum,197485,0,197485,0.0,0.0,2024-03-06 12:20:00,2026-06-05 23:55:00,821.4826388888889
raw_db_fetch,2024-03-06 00:00:00,2026-06-06 00:00:00,in_temp,197485,0,197485,0.0,0.0,2024-03-06 12:20:00,2026-06-05 23:55:00,821.4826388888889
raw_db_fetch,2024-03-06 00:00:00,2026-06-06 00:00:00,in_hum,197485,0,197485,0.0,0.0,2024-03-06 12:20:00,2026-06-05 23:55:00,821.4826388888889
raw_db_fetch,2024-03-06 00:00:00,2026-06-06 00:00:00,in_co2,197485,0,197485,0.0,0.0,2024-03-06 12:20:00,2026-06-05 23:55:00,821.4826388888889
raw_db_fetch,2024-03-06 00:00:00,2026-06-06 00:00:00,cont_skyl_vol,197485,0,197485,0.0,0.0,2024-03-06 12:20:00,2026-06-05 23:55:00,821.4826388888889
raw_db_fetch,2024-03-06 00:00:00,2026-06-06 00:00:00,cont_heater_run,197485,0,197485,0.0,0.0,2024-03-06 12:20:00,2026-06-05 23:55:00,821.4826388888889
raw_db_fetch,2024-03-06 00:00:00,2026-06-06 00:00:00,cont_fan_run,197485,0,197485,0.0,0.0,2024-03-06 12:20:00,2026-06-05 23:55:00,821.4826388888889
raw_db_fetch,2024-03-06 00:00:00,2026-06-06 00:00:00,cont_cur_vol,197485,0,197485,0.0,0.0,2024-03-06 12:20:00,2026-06-05 23:55:00,821.4826388888889
raw_db_fetch,2024-03-06 00:00:00,2026-06-06 00:00:00,cont_co2_run,197485,0,197485,0.0,0.0,2024-03-06 12:20:00,2026-06-05 23:55:00,821.4826388888889
after_sensor_qc_skipped,2024-03-06 00:00:00,2026-06-06 00:00:00,reg_date,197485,0,197485,0.0,0.0,2024-03-06 12:20:00,2026-06-05 23:55:00,821.4826388888889
after_sensor_qc_skipped,2024-03-06 00:00:00,2026-06-06 00:00:00,out_windsp,197485,0,197485,0.0,0.0,2024-03-06 12:20:00,2026-06-05 23:55:00,821.4826388888889
after_sensor_qc_skipped,2024-03-06 00:00:00,2026-06-06 00:00:00,out_winddirec,197485,0,197485,0.0,0.0,2024-03-06 12:20:00,2026-06-05 23:55:00,821.4826388888889
after_sensor_qc_skipped,2024-03-06 00:00:00,2026-06-06 00:00:00,out_temp,197485,0,197485,0.0,0.0,2024-03-06 12:20:00,2026-06-05 23:55:00,821.4826388888889
after_sensor_qc_skipped,2024-03-06 00:00:00,2026-06-06 00:00:00,out_rain,197485,0,197485,0.0,0.0,2024-03-06 12:20:00,2026-06-05 23:55:00,821.4826388888889
after_sensor_qc_skipped,2024-03-06 00:00:00,2026-06-06 00:00:00,out_light,197485,0,197485,0.0,0.0,2024-03-06 12:20:00,2026-06-05 23:55:00,821.4826388888889
after_sensor_qc_skipped,2024-03-06 00:00:00,2026-06-06 00:00:00,out_hum,197485,0,197485,0.0,0.0,2024-03-06 12:20:00,2026-06-05 23:55:00,821.4826388888889
after_sensor_qc_skipped,2024-03-06 00:00:00,2026-06-06 00:00:00,in_temp,197485,0,197485,0.0,0.0,2024-03-06 12:20:00,2026-06-05 23:55:00,821.4826388888889
after_sensor_qc_skipped,2024-03-06 00:00:00,2026-06-06 00:00:00,in_hum,197485,0,197485,0.0,0.0,2024-03-06 12:20:00,2026-06-05 23:55:00,821.4826388888889
after_sensor_qc_skipped,2024-03-06 00:00:00,2026-06-06 00:00:00,in_co2,197485,0,197485,0.0,0.0,2024-03-06 12:20:00,2026-06-05 23:55:00,821.4826388888889
after_sensor_qc_skipped,2024-03-06 00:00:00,2026-06-06 00:00:00,cont_skyl_vol,197485,0,197485,0.0,0.0,2024-03-06 12:20:00,2026-06-05 23:55:00,821.4826388888889
after_sensor_qc_skipped,2024-03-06 00:00:00,2026-06-06 00:00:00,cont_heater_run,197485,0,197485,0.0,0.0,2024-03-06 12:20:00,2026-06-05 23:55:00,821.4826388888889
after_sensor_qc_skipped,2024-03-06 00:00:00,2026-06-06 00:00:00,cont_fan_run,197485,0,197485,0.0,0.0,2024-03-06 12:20:00,2026-06-05 23:55:00,821.4826388888889
after_sensor_qc_skipped,2024-03-06 00:00:00,2026-06-06 00:00:00,cont_cur_vol,197485,0,197485,0.0,0.0,2024-03-06 12:20:00,2026-06-05 23:55:00,821.4826388888889
after_sensor_qc_skipped,2024-03-06 00:00:00,2026-06-06 00:00:00,cont_co2_run,197485,0,197485,0.0,0.0,2024-03-06 12:20:00,2026-06-05 23:55:00,821.4826388888889
after_normalize_for_derived,2024-03-06 00:00:00,2026-06-06 00:00:00,window_pct,197485,0,197485,0.0,0.0,2024-03-06 12:20:00,2026-06-05 23:55:00,821.4826388888889
