crop,feature_variant,model,deployment_eligible,benchmark_status,training_time_seconds,hpo_total_time_seconds,inference_latency_median_ms,inference_latency_p95_ms,peak_cpu_memory_mb,peak_gpu_memory_mb,serialized_model_size_mb,artifact_directory_size_mb,device
cucumber,with_quality_flags,persistence,False,completed,3.12551856e-06,8.132308722e-06,10.08027792,10.83670184,162.1328125,,0.002548217773,0.1850481033,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
cucumber,with_quality_flags,linear_regression,False,completed,0.05888952129,254.9081757,15.55142365,16.88878387,164.0703125,,0.01151180267,0.9523019791,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
cucumber,with_quality_flags,linear_svr,False,completed,8.356737068,369.7513778,15.59561677,16.98486954,164.1054688,,0.010222435,1.142297745,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
cucumber,with_quality_flags,knn,True,completed,0.02027749829,349.9536271,21.83480002,22.21260667,200.9101562,,32.6646452,33.79649067,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
cucumber,with_quality_flags,extra_trees,True,completed,0.7333266065,2376.995749,213.6119939,227.0669792,209.9335938,,17.28031731,19.36900139,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
cucumber,with_quality_flags,lightgbm,True,completed,0.4609240517,655.1749271,15.77838697,17.59872288,167.4414062,,0.6004085541,2.694013596,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
cucumber,with_quality_flags,xgboost,True,completed,1.385006316,710.6997437,26.07525513,26.90238953,363.2929688,,1.17786026,3.271056175,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
cucumber,with_quality_flags,mlp,True,completed,7.445217611,850.4833474,15.19172266,15.81733823,165.2109375,,0.8563175201,2.94315815,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
strawberry,without_quality_flags,persistence,False,completed,4.148110747e-06,9.736046195e-06,8.858963847,10.51838137,162.140625,,0.002489089966,0.5529651642,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
strawberry,without_quality_flags,linear_svr,False,completed,140.1098536,462.3384384,15.19124024,16.62726887,164.0664062,,0.0099401474,1.519477844,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
strawberry,without_quality_flags,knn,True,completed,0.05618257448,427.7274877,36.86603718,37.76145652,296.1289062,,128.9465456,130.4551888,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
strawberry,without_quality_flags,extra_trees,True,completed,20.86275402,2080.996295,163.3099448,189.1843427,1416.496094,,621.8924284,624.3604555,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
strawberry,without_quality_flags,lightgbm,True,completed,0.8791553322,855.6068775,17.03549363,18.94621626,167.0859375,,0.4445991516,2.920063972,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
strawberry,without_quality_flags,xgboost,True,completed,2.044507554,904.9277491,25.6030485,29.8067078,363.5039062,,0.8198013306,3.294897079,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
strawberry,without_quality_flags,mlp,False,completed,10.30166489,906.279358,16.09885134,18.33503917,164.515625,,0.3065576553,2.777373314,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
melon,without_quality_flags,persistence,False,completed,3.185123205e-06,8.074566722e-06,8.986063302,9.352941811,162.1289062,,0.002489089966,0.2086553574,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
melon,without_quality_flags,linear_regression,False,completed,0.07600493543,258.6964778,15.98217525,18.01439039,164.0585938,,0.01118373871,0.9653091431,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
melon,without_quality_flags,linear_svr,False,completed,2.958802905,361.5011977,14.86977562,15.09198174,164.0859375,,0.009939193726,1.15476799,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
melon,without_quality_flags,knn,True,completed,0.02688098513,358.1864427,26.25749633,26.69606321,209.0820312,,41.05233288,42.19587135,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
melon,without_quality_flags,extra_trees,True,completed,2.304179944,2513.321649,168.7698774,183.8994436,225.140625,,25.03548336,27.12489605,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
melon,without_quality_flags,lightgbm,True,completed,0.4340012744,667.2088044,18.28176528,20.35215348,167.265625,,0.454574585,2.54785347,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.8.0-100-generic-x86_64-with-glibc2.39"", ""processor"": ""x86_64"", ""gpu_available"": true, ""gpu_name"": ""NVIDIA B200""}"
