crop,feature_variant,model,baseline_only,deployment_eligible,horizon,validation_window_count,physical_violation_rate,nan_inf_count,target,drift_slope_nmae,drift_slope_nmae_median,drift_slope_nmae_q90,drift_slope_nmae_cvar90
strawberry,with_quality_flags,extra_trees,False,True,30min,1441,0,0,all_targets,0.01150837007,0.006753581313,0.02098257196,0.06150176963
strawberry,with_quality_flags,extra_trees,False,True,30min,1441,0,0,indoor_temperature,0.01332054952,0.007856803587,0.0295779523,0.0588335315
strawberry,with_quality_flags,extra_trees,False,True,30min,1441,0,0,indoor_humidity,0.01193762052,0.007597546915,0.03005069638,0.054368447
strawberry,with_quality_flags,extra_trees,False,True,30min,1441,0,0,indoor_co2,0.009266940164,0.001674627937,0.01023110961,0.1053215234
strawberry,with_quality_flags,extra_trees,False,True,60min,1441,0,0,all_targets,0.008771885119,0.006099065967,0.01812748825,0.03649126328
strawberry,with_quality_flags,extra_trees,False,True,60min,1441,0,0,indoor_temperature,0.01148701014,0.006965857978,0.02590533181,0.04863374757
strawberry,with_quality_flags,extra_trees,False,True,60min,1441,0,0,indoor_humidity,0.01070783146,0.007359167407,0.02683868339,0.04102569627
strawberry,with_quality_flags,extra_trees,False,True,60min,1441,0,0,indoor_co2,0.004120813759,0.001145595221,0.007186351814,0.04485661109
strawberry,with_quality_flags,lightgbm,False,True,15min,1441,0,0,all_targets,0.01516234483,0.008511490119,0.02606176018,0.09234072691
strawberry,with_quality_flags,lightgbm,False,True,15min,1441,0,0,indoor_temperature,0.01452556161,0.007350531369,0.02962994998,0.07892719262
strawberry,with_quality_flags,lightgbm,False,True,15min,1441,0,0,indoor_humidity,0.01080792647,0.006754717004,0.03825256124,0.06804987578
strawberry,with_quality_flags,lightgbm,False,True,15min,1441,0,0,indoor_co2,0.02015354643,0.003594671836,0.04046222717,0.1783977118
strawberry,with_quality_flags,lightgbm,False,True,30min,1441,0,0,all_targets,0.01496723101,0.0075906866,0.02351236213,0.08380119861
strawberry,with_quality_flags,lightgbm,False,True,30min,1441,0,0,indoor_temperature,0.01260147569,0.007035101065,0.0291402039,0.0576565728
strawberry,with_quality_flags,lightgbm,False,True,30min,1441,0,0,indoor_humidity,0.011742841,0.007220852238,0.02895764429,0.05747620788
strawberry,with_quality_flags,lightgbm,False,True,30min,1441,0,0,indoor_co2,0.02055737635,0.002471111995,0.03461504877,0.1722371392
strawberry,with_quality_flags,lightgbm,False,True,60min,1441,0,0,all_targets,0.01165610026,0.006618610286,0.02080801018,0.05704198237
strawberry,with_quality_flags,lightgbm,False,True,60min,1441,0,0,indoor_temperature,0.01104662781,0.006343862761,0.02569384723,0.0480562211
strawberry,with_quality_flags,lightgbm,False,True,60min,1441,0,0,indoor_humidity,0.01030897717,0.006880765923,0.02487581235,0.04238160256
strawberry,with_quality_flags,lightgbm,False,True,60min,1441,0,0,indoor_co2,0.0136126958,0.001790660183,0.02541921814,0.1110683149
strawberry,with_quality_flags,xgboost,False,False,15min,1441,0,0,all_targets,0.01342269832,0.006449079947,0.02112199774,0.09710310578
strawberry,with_quality_flags,xgboost,False,False,15min,1441,0,0,indoor_temperature,0.01314768983,0.007291876687,0.02702264078,0.07880092229
strawberry,with_quality_flags,xgboost,False,False,15min,1441,0,0,indoor_humidity,0.01444061401,0.008041105317,0.04526151546,0.09194993627
strawberry,with_quality_flags,xgboost,False,False,15min,1441,0,0,indoor_co2,0.01267979112,0.0009719516401,0.009574515272,0.1644715557
strawberry,with_quality_flags,xgboost,False,False,30min,1441,0,0,all_targets,0.01329269471,0.00611004598,0.01959561825,0.08623102262
strawberry,with_quality_flags,xgboost,False,False,30min,1441,0,0,indoor_temperature,0.01185485997,0.007280059112,0.02705315986,0.05491190332
strawberry,with_quality_flags,xgboost,False,False,30min,1441,0,0,indoor_humidity,0.01426401241,0.007498132612,0.03821320803,0.07381123115
strawberry,with_quality_flags,xgboost,False,False,30min,1441,0,0,indoor_co2,0.01375921176,0.001025999969,0.005907763876,0.1546876425
strawberry,with_quality_flags,xgboost,False,False,60min,1441,1.927673683e-05,0,all_targets,0.009604050429,0.005596806711,0.01808002754,0.04701581848
strawberry,with_quality_flags,xgboost,False,False,60min,1441,1.927673683e-05,0,indoor_temperature,0.009652962602,0.006333621166,0.02311782722,0.03837294333
strawberry,with_quality_flags,xgboost,False,False,60min,1441,1.927673683e-05,0,indoor_humidity,0.01306832482,0.007732577462,0.03252547021,0.05967412686
strawberry,with_quality_flags,xgboost,False,False,60min,1441,1.927673683e-05,0,indoor_co2,0.006090863866,0.0007996241722,0.005068128548,0.06930338178
strawberry,with_quality_flags,mlp,False,False,15min,1441,0,0,all_targets,-0.01197406848,0.009684099532,0.02557866457,0.08515810865
strawberry,with_quality_flags,mlp,False,False,15min,1441,0,0,indoor_temperature,0.01649446494,0.01108746106,0.03750058253,0.09430932237
strawberry,with_quality_flags,mlp,False,False,15min,1441,0,0,indoor_humidity,0.01567817119,0.01435533723,0.05127758613,0.07444026967
strawberry,with_quality_flags,mlp,False,False,15min,1441,0,0,indoor_co2,-0.06809484158,0.0007598289372,0.009512770503,0.1530419221
strawberry,with_quality_flags,mlp,False,False,30min,1441,0,0,all_targets,0.003166017236,0.009821922953,0.02351244756,0.05691921636
