crop,feature_variant,model,target,deployment_eligible,mae,rmse,nrmse,r2,absolute_error_q90,absolute_error_cvar90
melon,with_quality_flags,xgboost,indoor_co2,True,1.733721996,2.358345284,0.1216751424,0.9851951597,3.497171754,4.70095981
melon,with_quality_flags,mlp,indoor_temperature,False,0.06550340764,0.08634512393,0.01493661497,0.9997768975,0.1389435788,0.1893448249
melon,with_quality_flags,mlp,indoor_humidity,False,0.5408459898,0.7347057398,0.06561978244,0.9956940442,1.206688529,1.671334102
melon,with_quality_flags,mlp,indoor_co2,False,1.754698648,2.204887252,0.1137577148,0.9870591823,3.579734376,4.573578876
cucumber,with_quality_flags,persistence,indoor_temperature,False,0.1107389872,0.1502100218,0.02695751565,0.9992732924,0.27,0.3339344262
cucumber,with_quality_flags,persistence,indoor_humidity,False,0.5426368876,0.7635153445,0.05112975124,0.9973857485,1.2,1.771816327
cucumber,with_quality_flags,persistence,indoor_co2,False,1.888637299,2.557812402,0.117543038,0.9861836342,4,5.098693759
cucumber,with_quality_flags,linear_regression,indoor_temperature,False,0.07999230267,0.1076088092,0.01931206803,0.999627044,0.1789158672,0.2460946237
cucumber,with_quality_flags,linear_regression,indoor_humidity,False,0.6374627556,0.8607825076,0.05764336735,0.9966772422,1.398083152,1.935016275
cucumber,with_quality_flags,linear_regression,indoor_co2,False,2.009637419,2.764513593,0.1270418918,0.9838603577,4.106207454,5.946244995
cucumber,with_quality_flags,linear_svr,indoor_temperature,False,0.1040421904,0.1258639038,0.02258822759,0.999489772,0.2026942874,0.2461028649
cucumber,with_quality_flags,linear_svr,indoor_humidity,False,0.5638756251,0.7833961172,0.05246109182,0.9972478338,1.261488341,1.807747107
cucumber,with_quality_flags,linear_svr,indoor_co2,False,1.915378502,2.53128129,0.1163238136,0.9864687704,3.964997064,5.491488536
cucumber,with_quality_flags,knn,indoor_temperature,True,0.07888107981,0.1106578192,0.01985926011,0.9996056098,0.1785714286,0.2610955302
cucumber,with_quality_flags,knn,indoor_humidity,True,0.5962275909,0.8154429612,0.05460714844,0.9970180593,1.326636364,1.85926113
cucumber,with_quality_flags,knn,indoor_co2,True,2.008763159,2.624908653,0.120626414,0.9854492682,4.285714286,5.68624014
cucumber,with_quality_flags,extra_trees,indoor_temperature,True,0.06868534143,0.09251031205,0.01660240878,0.99972436,0.1489084211,0.2142000299
cucumber,with_quality_flags,extra_trees,indoor_humidity,True,0.5300937991,0.7407435482,0.04960480967,0.9975393629,1.183170951,1.720896031
cucumber,with_quality_flags,extra_trees,indoor_co2,True,1.861202258,2.464209367,0.1132415556,0.9871763501,3.760319102,5.38604968
cucumber,with_quality_flags,lightgbm,indoor_temperature,True,0.06164731128,0.08318950213,0.01492964503,0.9997771057,0.1283332704,0.1916608102
cucumber,with_quality_flags,lightgbm,indoor_humidity,True,0.5523069298,0.7664077901,0.05132344744,0.9973659037,1.259142093,1.764331243
cucumber,with_quality_flags,lightgbm,indoor_co2,True,1.83129869,2.396073163,0.1101103892,0.9878757022,3.764970949,5.191123886
cucumber,with_quality_flags,xgboost,indoor_temperature,True,0.0617954973,0.08400835332,0.01507660057,0.9997726961,0.1286293405,0.1944060536
cucumber,with_quality_flags,xgboost,indoor_humidity,True,0.5320853309,0.7446967879,0.04986954327,0.9975130287,1.21407811,1.724392811
cucumber,with_quality_flags,xgboost,indoor_co2,True,1.848975922,2.443357384,0.1122833128,0.9873924577,3.799672732,5.340188682
cucumber,with_quality_flags,mlp,indoor_temperature,True,0.09276464929,0.1389060295,0.02492883909,0.999378553,0.2538247852,0.3484576046
cucumber,with_quality_flags,mlp,indoor_humidity,True,1.323060682,2.042263656,0.1367627166,0.9812959593,3.766861049,5.151164838
cucumber,with_quality_flags,mlp,indoor_co2,True,2.009629188,2.601934256,0.1195706366,0.9857028629,4.177320466,5.60848259
strawberry,without_quality_flags,persistence,indoor_temperature,False,0.1554325288,0.4950565708,0.07843498691,0.9938479528,0.32,0.6173929558
strawberry,without_quality_flags,persistence,indoor_humidity,False,0.5318323619,0.8942204534,0.06377298119,0.9959330069,1.13,1.925207756
strawberry,without_quality_flags,persistence,indoor_co2,False,3.292884939,43.5186374,0.2539440601,0.9355124143,3,11.23527163
strawberry,without_quality_flags,linear_svr,indoor_temperature,False,0.132390938,0.4837139419,0.07663790149,0.9941266321,0.2673804548,0.5500835212
strawberry,without_quality_flags,linear_svr,indoor_humidity,False,0.5500038176,1.024453679,0.0730608039,0.9946621189,1.131574736,2.292470101
strawberry,without_quality_flags,linear_svr,indoor_co2,False,3.294048318,43.51848756,0.2539431857,0.9355128584,3.010672969,21.20597208
strawberry,without_quality_flags,knn,indoor_temperature,True,0.1394641554,0.5150861244,0.08160839753,0.9933400695,0.2428571429,0.6707698049
strawberry,without_quality_flags,knn,indoor_humidity,True,0.536122726,0.8948420582,0.06381731208,0.9959273507,1.152727273,1.952672818
strawberry,without_quality_flags,knn,indoor_co2,True,7.186546614,53.10006132,0.3098544892,0.9039901955,3.727272727,56.42765258
strawberry,without_quality_flags,extra_trees,indoor_temperature,True,0.1199323892,0.4579902899,0.07256233836,0.9947347071,0.2215581406,0.5250180763
strawberry,without_quality_flags,extra_trees,indoor_humidity,True,0.5027967367,0.8598352921,0.06132073998,0.9962397668,1.081165798,1.811977369
strawberry,without_quality_flags,extra_trees,indoor_co2,True,13.14895829,79.31357561,0.4628180618,0.7857994417,8.386135567,112.4911795
strawberry,without_quality_flags,lightgbm,indoor_temperature,True,0.1244460695,0.4723213644,0.07483290239,0.9944000367,0.2406515183,0.5259841822
strawberry,without_quality_flags,lightgbm,indoor_humidity,True,0.4901752321,0.8445735167,0.06023231832,0.9963720678,1.063824619,1.805074738
strawberry,without_quality_flags,lightgbm,indoor_co2,True,4.59945051,43.38848703,0.2531845944,0.9358975612,3.922113668,32.95096343
strawberry,without_quality_flags,xgboost,indoor_temperature,True,0.1150684474,0.4692493599,0.07434618501,0.9944726448,0.205738768,0.522774138
strawberry,without_quality_flags,xgboost,indoor_humidity,True,0.4857442039,0.8317866709,0.05932040082,0.99648109,1.051921602,1.756760932
strawberry,without_quality_flags,xgboost,indoor_co2,True,7.002116763,52.2081239,0.3046497719,0.9071885165,3.975499017,56.53906686
strawberry,without_quality_flags,mlp,indoor_temperature,False,0.1855020979,0.7061368383,0.1118777872,0.9874833607,0.2687017558,1.113266075
strawberry,without_quality_flags,mlp,indoor_humidity,False,0.7078699213,1.74426615,0.1243955581,0.9845257451,1.172590584,3.576617205
strawberry,without_quality_flags,mlp,indoor_co2,False,14.18789423,87.56724088,0.5109806283,0.7388987975,5.574125869,124.4362332
melon,without_quality_flags,persistence,indoor_temperature,False,0.1074614236,0.1541589254,0.02666754541,0.999288842,0.28,0.349290429
melon,without_quality_flags,persistence,indoor_humidity,False,0.4608793761,0.6390262679,0.05707423041,0.9967425322,0.98,1.457913907
melon,without_quality_flags,persistence,indoor_co2,False,1.664509706,2.139331207,0.110375453,0.9878172594,3,3.642235123
melon,without_quality_flags,linear_regression,indoor_temperature,False,0.08688194097,0.111255326,0.01924576505,0.9996296005,0.1733846056,0.2341271206
melon,without_quality_flags,linear_regression,indoor_humidity,False,0.412688388,0.5885251204,0.05256375209,0.997237052,0.9251552408,1.371423088
melon,without_quality_flags,linear_regression,indoor_co2,False,2.505051272,3.089337426,0.1593895405,0.9745949744,5.042213218,6.190191522
melon,without_quality_flags,linear_svr,indoor_temperature,False,0.0713975024,0.09776903753,0.01691280762,0.9997139569,0.1536287038,0.2145516951
melon,without_quality_flags,linear_svr,indoor_humidity,False,0.413826661,0.5925680906,0.05292484744,0.9971989605,0.9294768145,1.380923591
melon,without_quality_flags,linear_svr,indoor_co2,False,1.727432244,2.172297529,0.112076299,0.9874389032,3.531110211,4.509210659
melon,without_quality_flags,knn,indoor_temperature,True,0.07006078142,0.1010219917,0.01747552757,0.9996946059,0.1545454545,0.2312750713
melon,without_quality_flags,knn,indoor_humidity,True,0.4650735327,0.643881158,0.05750784187,0.9966928481,1.003636364,1.486726971
melon,without_quality_flags,knn,indoor_co2,True,1.741722853,2.197503151,0.1133767437,0.987145714,3.545454545,4.502018655
melon,without_quality_flags,extra_trees,indoor_temperature,True,0.06652713106,0.09589391599,0.0165884353,0.9997248238,0.1512426834,0.2208636764
melon,without_quality_flags,extra_trees,indoor_humidity,True,0.4275986802,0.603215863,0.05387584655,0.9970973932,0.9351080757,1.39441256
melon,without_quality_flags,extra_trees,indoor_co2,True,1.801912848,2.270168645,0.1171258063,0.9862815455,3.61761281,4.753162199
melon,without_quality_flags,lightgbm,indoor_temperature,True,0.0763959551,0.1108216356,0.01917074209,0.9996324826,0.1799097269,0.255523517
melon,without_quality_flags,lightgbm,indoor_humidity,True,0.4427746848,0.6286696871,0.05614923889,0.996847263,0.990860015,1.466544919
melon,without_quality_flags,lightgbm,indoor_co2,True,1.717117027,2.265117538,0.1168652024,0.9863425245,3.390173669,4.632234198
melon,without_quality_flags,xgboost,indoor_temperature,True,0.0615623722,0.09132868775,0.01579870852,0.9997504008,0.136475271,0.2085275137
melon,without_quality_flags,xgboost,indoor_humidity,True,0.4403856098,0.6168959459,0.05509767457,0.9969642463,0.9788019068,1.433081462
melon,without_quality_flags,xgboost,indoor_co2,True,1.726943365,2.195234692,0.1132597061,0.987172239,3.518042576,4.584786198
melon,without_quality_flags,mlp,indoor_temperature,False,0.06086566336,0.08383077421,0.01450166425,0.9997897017,0.1305169789,0.1855991016
melon,without_quality_flags,mlp,indoor_humidity,False,0.5858149375,0.7964517577,0.07113458931,0.9949398702,1.256449517,1.830172499
melon,without_quality_flags,mlp,indoor_co2,False,1.755831824,2.341212953,0.1207912265,0.9854094796,3.498556196,4.895044739
cucumber,without_quality_flags,persistence,indoor_temperature,False,0.1107389872,0.1502100218,0.02695751565,0.9992732924,0.27,0.3339344262
cucumber,without_quality_flags,persistence,indoor_humidity,False,0.5426368876,0.7635153445,0.05112975124,0.9973857485,1.2,1.771816327
cucumber,without_quality_flags,persistence,indoor_co2,False,1.888637299,2.557812402,0.117543038,0.9861836342,4,5.098693759
cucumber,without_quality_flags,linear_regression,indoor_temperature,True,0.07979500207,0.1074562212,0.01928468374,0.999628101,0.1784970725,0.2461247655
cucumber,without_quality_flags,linear_regression,indoor_humidity,True,0.6296949149,0.8447522941,0.05656988424,0.9967998482,1.379682579,1.887193395
cucumber,without_quality_flags,linear_regression,indoor_co2,True,1.960824895,2.565719674,0.1179064129,0.9860980778,4.060276412,5.523504867
cucumber,without_quality_flags,linear_svr,indoor_temperature,True,0.07632099075,0.0997418862,0.01790022681,0.9996795819,0.1591496517,0.220471835
cucumber,without_quality_flags,linear_svr,indoor_humidity,True,0.5791532486,0.7933601756,0.05312834734,0.9971773787,1.267067991,1.810184965
cucumber,without_quality_flags,linear_svr,indoor_co2,True,1.915177794,2.531131127,0.1163169129,0.9864703758,3.964997064,5.491488536
cucumber,without_quality_flags,knn,indoor_temperature,True,0.07888107981,0.1106578192,0.01985926011,0.9996056098,0.1785714286,0.2610955302
cucumber,without_quality_flags,knn,indoor_humidity,True,0.5962275909,0.8154429612,0.05460714844,0.9970180593,1.326636364,1.85926113
cucumber,without_quality_flags,knn,indoor_co2,True,2.008763159,2.624908653,0.120626414,0.9854492682,4.285714286,5.68624014
cucumber,without_quality_flags,extra_trees,indoor_temperature,True,0.06871642427,0.09237370358,0.01657789228,0.9997251735,0.1494144662,0.2134763225
cucumber,without_quality_flags,extra_trees,indoor_humidity,True,0.5303333849,0.7406663466,0.04959963978,0.9975398757,1.17674046,1.719543613
cucumber,without_quality_flags,extra_trees,indoor_co2,True,1.861854778,2.464420571,0.1132512614,0.9871741518,3.767557839,5.38875146
cucumber,without_quality_flags,lightgbm,indoor_temperature,True,0.06164731128,0.08318950213,0.01492964503,0.9997771057,0.1283332704,0.1916608102
cucumber,without_quality_flags,lightgbm,indoor_humidity,True,0.5523069298,0.7664077901,0.05132344744,0.9973659037,1.259142093,1.764331243
cucumber,without_quality_flags,lightgbm,indoor_co2,True,1.83129869,2.396073163,0.1101103892,0.9878757022,3.764970949,5.191123886
cucumber,without_quality_flags,xgboost,indoor_temperature,True,0.06455876429,0.08902254133,0.01597647429,0.9997447523,0.1428154171,0.2103317286
cucumber,without_quality_flags,xgboost,indoor_humidity,True,0.5532969764,0.7697129553,0.05154478192,0.9973431355,1.255182618,1.774647393
cucumber,without_quality_flags,xgboost,indoor_co2,True,1.8463952,2.438306368,0.1120511958,0.9874445295,3.784129769,5.343740273
cucumber,without_quality_flags,mlp,indoor_temperature,True,0.08788017283,0.1289381171,0.02313994278,0.999464543,0.2312082187,0.3201331553
cucumber,without_quality_flags,mlp,indoor_humidity,True,1.756878172,2.995661263,0.2006081689,0.9597563626,5.568956413,8.006393251
cucumber,without_quality_flags,mlp,indoor_co2,True,2.79598237,3.871710739,0.1779226038,0.968343547,6.200431529,8.997399276
