segment_id,series_id,crop,geas_version,segment_index,actual_start,actual_end,row_count,n_inserted_rows,source_segment_id,source_file_path,file_path
iot97_melon_geas2_0_seg06,melon_geas2_0,melon,2.0,6,2025-08-14 17:45:00,2025-08-22 14:25:00,2265,0,iot97_melon_geas2_0_seg02,offline_dataset_preparation\datasets\00_raw\melon\melon_geas2_0.parquet,offline_dataset_preparation\datasets\01_resampled\melon\melon_geas2_0.parquet
iot97_melon_geas2_0_seg07,melon_geas2_0,melon,2.0,7,2025-08-26 15:50:00,2025-09-09 13:55:00,4010,0,iot97_melon_geas2_0_seg03,offline_dataset_preparation\datasets\00_raw\melon\melon_geas2_0.parquet,offline_dataset_preparation\datasets\01_resampled\melon\melon_geas2_0.parquet
iot97_melon_geas2_5_seg01,melon_geas2_5,melon,2.5,1,2025-09-09 14:00:00,2025-09-19 13:05:00,2870,0,iot97_melon_geas2_5_seg01,offline_dataset_preparation\datasets\00_raw\melon\melon_geas2_5.parquet,offline_dataset_preparation\datasets\01_resampled\melon\melon_geas2_5.parquet
iot97_melon_geas2_5_seg02,melon_geas2_5,melon,2.5,2,2025-09-19 16:25:00,2025-10-13 16:15:00,6911,1,iot97_melon_geas2_5_seg01,offline_dataset_preparation\datasets\00_raw\melon\melon_geas2_5.parquet,offline_dataset_preparation\datasets\01_resampled\melon\melon_geas2_5.parquet
iot97_melon_geas2_5_seg03,melon_geas2_5,melon,2.5,3,2025-10-13 16:45:00,2025-10-16 23:55:00,951,0,iot97_melon_geas2_5_seg01,offline_dataset_preparation\datasets\00_raw\melon\melon_geas2_5.parquet,offline_dataset_preparation\datasets\01_resampled\melon\melon_geas2_5.parquet
iot97_strawberry_geas2_5_seg01,strawberry_geas2_5,strawberry,2.5,1,2025-10-17 00:00:00,2025-10-23 17:55:00,1944,1,iot97_strawberry_geas2_5_seg01,offline_dataset_preparation\datasets\00_raw\strawberry\strawberry_geas2_5.parquet,offline_dataset_preparation\datasets\01_resampled\strawberry\strawberry_geas2_5.parquet
iot97_strawberry_geas2_5_seg02,strawberry_geas2_5,strawberry,2.5,2,2025-10-23 18:15:00,2025-11-05 13:30:00,3688,1,iot97_strawberry_geas2_5_seg01,offline_dataset_preparation\datasets\00_raw\strawberry\strawberry_geas2_5.parquet,offline_dataset_preparation\datasets\01_resampled\strawberry\strawberry_geas2_5.parquet
iot97_strawberry_geas2_5_seg03,strawberry_geas2_5,strawberry,2.5,3,2025-11-05 14:55:00,2025-11-14 09:25:00,2527,2,iot97_strawberry_geas2_5_seg01,offline_dataset_preparation\datasets\00_raw\strawberry\strawberry_geas2_5.parquet,offline_dataset_preparation\datasets\01_resampled\strawberry\strawberry_geas2_5.parquet
iot97_strawberry_geas2_5_seg04,strawberry_geas2_5,strawberry,2.5,4,2025-11-14 10:05:00,2025-12-01 08:25:00,4877,0,iot97_strawberry_geas2_5_seg01,offline_dataset_preparation\datasets\00_raw\strawberry\strawberry_geas2_5.parquet,offline_dataset_preparation\datasets\01_resampled\strawberry\strawberry_geas2_5.parquet
iot97_strawberry_geas3_0_seg01,strawberry_geas3_0,strawberry,3.0,1,2025-12-01 08:30:00,2025-12-16 09:35:00,4334,1,iot97_strawberry_geas3_0_seg01,offline_dataset_preparation\datasets\00_raw\strawberry\strawberry_geas3_0.parquet,offline_dataset_preparation\datasets\01_resampled\strawberry\strawberry_geas3_0.parquet
iot97_strawberry_geas3_0_seg02,strawberry_geas3_0,strawberry,3.0,2,2025-12-19 15:25:00,2026-01-22 09:05:00,9717,0,iot97_strawberry_geas3_0_seg02,offline_dataset_preparation\datasets\00_raw\strawberry\strawberry_geas3_0.parquet,offline_dataset_preparation\datasets\01_resampled\strawberry\strawberry_geas3_0.parquet
iot97_strawberry_geas2_5_seg05,strawberry_geas2_5,strawberry,2.5,5,2026-01-22 09:10:00,2026-01-29 16:00:00,2099,0,iot97_strawberry_geas2_5_seg02,offline_dataset_preparation\datasets\00_raw\strawberry\strawberry_geas2_5.parquet,offline_dataset_preparation\datasets\01_resampled\strawberry\strawberry_geas2_5.parquet
iot97_strawberry_geas2_5_seg06,strawberry_geas2_5,strawberry,2.5,6,2026-01-29 17:25:00,2026-02-05 07:15:00,1895,0,iot97_strawberry_geas2_5_seg02,offline_dataset_preparation\datasets\00_raw\strawberry\strawberry_geas2_5.parquet,offline_dataset_preparation\datasets\01_resampled\strawberry\strawberry_geas2_5.parquet
iot97_strawberry_geas2_5_seg07,strawberry_geas2_5,strawberry,2.5,7,2026-02-05 15:30:00,2026-02-11 09:15:00,1654,0,iot97_strawberry_geas2_5_seg02,offline_dataset_preparation\datasets\00_raw\strawberry\strawberry_geas2_5.parquet,offline_dataset_preparation\datasets\01_resampled\strawberry\strawberry_geas2_5.parquet
iot97_strawberry_geas2_5_seg08,strawberry_geas2_5,strawberry,2.5,8,2026-02-11 10:25:00,2026-02-12 10:40:00,292,0,iot97_strawberry_geas2_5_seg02,offline_dataset_preparation\datasets\00_raw\strawberry\strawberry_geas2_5.parquet,offline_dataset_preparation\datasets\01_resampled\strawberry\strawberry_geas2_5.parquet
iot97_cucumber_geas2_5_seg01,cucumber_geas2_5,cucumber,2.5,1,2026-03-05 00:00:00,2026-06-30 23:55:00,33984,1,iot97_cucumber_geas2_5_seg01,offline_dataset_preparation\datasets\00_raw\cucumber\cucumber_geas2_5.parquet,offline_dataset_preparation\datasets\01_resampled\cucumber\cucumber_geas2_5.parquet

