epoch,train_reconstruction_loss,validation_reconstruction_loss
1,0.1434725452265511,0.08304267065369919
2,0.08565808452971994,0.06471750230770813
3,0.08508942499756814,0.06406475301219584
4,0.08070581815626524,0.06391089223325253
5,0.07198686524205011,0.058647262953119735
6,0.07414967114080305,0.06097084385891483
7,0.06847054702676322,0.0565217817967681
8,0.06771068781206052,0.05650298895748102
9,0.07057731701699022,0.05654362874896559
10,0.06530194864289401,0.053780361971728606
11,0.07249407809074611,0.06208784966283057
12,0.06874336928435384,0.05523231746756459
13,0.06414815203784263,0.04985999039131893
14,0.06032477725450307,0.0524414928170712
15,0.06948924116177918,0.052182907111024204
16,0.06194299518653791,0.05250827387000804
17,0.0633418968993507,0.052805557859780854
18,0.06395199518803864,0.05391848197028245
19,0.06055601011604479,0.05138537426772591
20,0.06823455769925901,0.054977086825576955
21,0.06347901194981516,0.05054089530332856
22,0.05812606284369345,0.05314191606227461
23,0.06241150916847464,0.05209987123228916
24,0.06908161264576324,0.051030152330608806
