epoch,train_reconstruction_loss,validation_reconstruction_loss
1,0.027805074692950293,0.07583514647987179
2,0.011200746881998859,0.08316859962273734
3,0.010109380660259843,0.07884024182716746
4,0.008386867118047165,0.09801824344004063
5,0.00729637684006587,0.08381690434045282
6,0.007186882378230819,0.08689400842378131
7,0.007839177057813148,0.08850149957131921
8,0.0076408725970963,0.0883412348323915
9,0.006802752099682471,0.087248343156939
10,0.006170518382122325,0.08966985542506126
11,0.005725333310131831,0.07967282802143404
12,0.006341440103986812,0.08244266243075841
